id_transaccion,fecha_compra,nombre_empresa_cliente,categoria_producto,producto_sku,cantidad,precio_unitario,metodo_pago,estado_pedido,descuento_aplicado
40,8/18/2025,Eayo,insumos gastronómicos de alta calidad,Pork - Bones,492,$4836.80,TRANSF.,error: undefined method `first' for nil:NilClass,4
41,6/4/2026,Pixonyx,insumos gastronómicos de alta calidad,Water - Spring 1.5lit,96,$1220.55,tarjeta débito,error: undefined method `first' for nil:NilClass,
42,4/26/2026,Yodo,insumos gastronómicos de alta calidad,Cocoa Powder - Dutched,306,$4197.44,Cheque,,
43,5/8/2024,Photolist,insumos gastronómicos de alta calidad,Pork - Inside,323,$2638.38,cheque a 30 dias,error: undefined method `first' for nil:NilClass,6
44,5/5/2025,Dynabox,insumos gastronómicos de alta calidad,"Crush - Grape, 355 Ml",486,$1380.40,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,13
45,10/7/2025,Zoovu,insumos gastronómicos de alta calidad,Mustard - Individual Pkg,440,$2162.82,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,3
46,2/2/2024,,insumos gastronómicos de alta calidad,Cheese - Ricotta,109,$3565.95,cheque a 30 dias,error: undefined method `first' for nil:NilClass,
47,5/29/2024,Jabbersphere,insumos gastronómicos de alta calidad,Salt - Table,3,$1349.61,Efectivo,error: undefined method `first' for nil:NilClass,
48,5/9/2025,Abata,insumos gastronómicos de alta calidad,"Flour - Corn, Fine",284,$4845.31,cheque a 30 dias,error: undefined method `first' for nil:NilClass,
49,8/27/2025,Yoveo,insumos gastronómicos de alta calidad,Mustard Prepared,209,$2164.14,Efectivo,error: undefined method `first' for nil:NilClass,12
50,4/25/2026,Quatz,insumos gastronómicos de alta calidad,Juice Peach Nectar,357,$1577.74,tarjeta débito,error: undefined method `first' for nil:NilClass,12
51,12/13/2025,Agivu,insumos gastronómicos de alta calidad,"Crab - Dungeness, Whole",308,$801.43,cheque a 30 dias,error: undefined method `first' for nil:NilClass,11
52,1/20/2024,Avavee,insumos gastronómicos de alta calidad,"Turkey - Whole, Fresh",341,$4402.19,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,13
53,3/5/2026,Livefish,insumos gastronómicos de alta calidad,Jagermeister,373,$1865.95,Cheque,error: undefined method `first' for nil:NilClass,9
54,9/25/2025,Feedspan,insumos gastronómicos de alta calidad,Jolt Cola - Electric Blue,120,$3747.71,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
55,5/17/2024,Ntags,insumos gastronómicos de alta calidad,Plastic Arrow Stir Stick,118,$2521.98,Efectivo,error: undefined method `first' for nil:NilClass,
56,2/4/2026,Innojam,insumos gastronómicos de alta calidad,Milk - Buttermilk,228,$893.97,tarjeta débito,error: undefined method `first' for nil:NilClass,
57,4/19/2025,Meevee,insumos gastronómicos de alta calidad,Flour - Fast / Rapid,449,$2128.34,Cheque,error: undefined method `first' for nil:NilClass,25
58,10/29/2025,Tagcat,insumos gastronómicos de alta calidad,Gherkin,413,$1017.41,tarjeta de crétdito,,13
59,9/13/2024,Shuffletag,insumos gastronómicos de alta calidad,Wine - Barossa Valley Estate,30,$3906.51,Cheque,error: undefined method `first' for nil:NilClass,
60,10/30/2024,Voolia,insumos gastronómicos de alta calidad,Grouper - Fresh,18,$2424.24,Transferencia,,
61,7/5/2024,Buzzshare,insumos gastronómicos de alta calidad,Appetiser - Bought,170,$4988.18,TRANSF.,error: undefined method `first' for nil:NilClass,14
62,5/11/2026,Mita,insumos gastronómicos de alta calidad,Sea Bass - Fillets,395,$743.89,Cheque,error: undefined method `first' for nil:NilClass,6
63,10/31/2024,Layo,insumos gastronómicos de alta calidad,"Beef - Bones, Marrow",59,$3263.51,transferencia,error: undefined method `first' for nil:NilClass,
64,5/23/2025,,insumos gastronómicos de alta calidad,Pepper - Yellow Bell,75,$966.29,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
65,5/11/2026,Wikivu,insumos gastronómicos de alta calidad,Sprouts - Baby Pea Tendrils,320,$4184.43,transferencia,,13
66,5/21/2025,Viva,insumos gastronómicos de alta calidad,"Nut - Pecan, Pieces",189,$1378.86,Cheque,error: undefined method `first' for nil:NilClass,22
67,2/11/2025,Trudoo,insumos gastronómicos de alta calidad,Energy Drink Bawls,379,$4134.62,Tarjeta,error: undefined method `first' for nil:NilClass,
68,12/16/2024,Kazio,insumos gastronómicos de alta calidad,Cake - Bande Of Fruit,53,$3149.63,Tarjeta,error: undefined method `first' for nil:NilClass,
69,6/20/2025,Vitz,insumos gastronómicos de alta calidad,"Vermouth - White, Cinzano",177,$772.67,Efectivo,error: undefined method `first' for nil:NilClass,15
70,2/22/2026,Mynte,insumos gastronómicos de alta calidad,Appetizer - Veg Assortment,190,$2470.07,tarjeta débito,error: undefined method `first' for nil:NilClass,4
71,2/15/2024,Podcat,insumos gastronómicos de alta calidad,Pineapple - Regular,316,$3932.74,Cheque,error: undefined method `first' for nil:NilClass,24
72,4/29/2025,,insumos gastronómicos de alta calidad,"Doilies - 5, Paper",47,$1301.06,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
73,11/6/2024,Aimbo,insumos gastronómicos de alta calidad,"Seedlings - Buckwheat, Organic",498,$3295.34,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
74,1/2/2026,Miboo,insumos gastronómicos de alta calidad,"Tortillas - Flour, 8",1,$1061.06,Efectivo,error: undefined method `first' for nil:NilClass,
75,1/8/2026,Cogibox,insumos gastronómicos de alta calidad,"Nut - Pine Nuts, Whole",487,$2750.42,TRANSF.,,
76,11/8/2025,Zazio,insumos gastronómicos de alta calidad,"Sauce - Soya, Dark",70,$2033.91,Transferencia,error: undefined method `first' for nil:NilClass,22
77,12/26/2024,Kazu,insumos gastronómicos de alta calidad,Crackers - Soda / Saltins,442,$2248.00,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,24
78,4/18/2025,Oyope,insumos gastronómicos de alta calidad,Wasabi Paste,5,$3895.34,transferencia,error: undefined method `first' for nil:NilClass,21
79,5/15/2025,Zazio,insumos gastronómicos de alta calidad,Mousse - Banana Chocolate,158,$4651.46,Tarjeta,error: undefined method `first' for nil:NilClass,28
80,2/24/2026,Topiclounge,insumos gastronómicos de alta calidad,Soup - Campbells - Tomato,129,$3087.97,Transferencia,error: undefined method `first' for nil:NilClass,
81,1/31/2026,Fatz,insumos gastronómicos de alta calidad,Pepper - Chilli Seeds Mild,237,$3393.94,Efectivo,error: undefined method `first' for nil:NilClass,
82,1/22/2025,Fiveclub,insumos gastronómicos de alta calidad,Mayonnaise,114,$1270.31,Cheque,,
83,8/12/2024,Vimbo,insumos gastronómicos de alta calidad,"Beef - Tenderlion, Center Cut",87,$1331.09,tarjeta débito,error: undefined method `first' for nil:NilClass,
84,1/9/2024,Youtags,insumos gastronómicos de alta calidad,Muffin Mix - Oatmeal,140,$3968.89,tarjeta débito,error: undefined method `first' for nil:NilClass,4
85,6/11/2026,Mynte,insumos gastronómicos de alta calidad,Truffle Paste,469,$1792.12,Efectivo,error: undefined method `first' for nil:NilClass,2
86,2/9/2025,Quatz,insumos gastronómicos de alta calidad,Cookies - Fortune,238,$2235.07,Efectivo,error: undefined method `first' for nil:NilClass,9
87,6/17/2024,Flipbug,insumos gastronómicos de alta calidad,Chips - Potato Jalapeno,276,$3399.77,Tarjeta,error: undefined method `first' for nil:NilClass,17
88,5/12/2025,Teklist,insumos gastronómicos de alta calidad,Smoked Paprika,61,$4821.97,Cheque,error: undefined method `first' for nil:NilClass,15
89,10/6/2025,Browsetype,insumos gastronómicos de alta calidad,Flavouring Vanilla Artificial,117,$814.62,Transferencia,error: undefined method `first' for nil:NilClass,
90,7/8/2024,,insumos gastronómicos de alta calidad,Syrup - Monin - Blue Curacao,358,$3806.60,TRANSF.,error: undefined method `first' for nil:NilClass,
91,3/10/2024,Devify,insumos gastronómicos de alta calidad,Hersey Shakes,98,$4208.62,tarjeta débito,error: undefined method `first' for nil:NilClass,5
92,2/6/2025,Yambee,insumos gastronómicos de alta calidad,Onions - Green,390,$4456.63,TRANSF.,error: undefined method `first' for nil:NilClass,27
93,1/27/2024,Meembee,insumos gastronómicos de alta calidad,Wine - Gato Negro Cabernet,110,$988.91,Cheque,error: undefined method `first' for nil:NilClass,
94,5/6/2024,Jabberbean,insumos gastronómicos de alta calidad,Langers - Ruby Red Grapfruit,309,$4998.18,TRANSF.,error: undefined method `first' for nil:NilClass,13
95,4/26/2026,Thoughtbeat,insumos gastronómicos de alta calidad,"Beets - Candy Cane, Organic",384,$4164.43,Cheque,error: undefined method `first' for nil:NilClass,4
96,2/28/2026,Yotz,insumos gastronómicos de alta calidad,Pie Filling - Pumpkin,100,$2539.45,Transferencia,error: undefined method `first' for nil:NilClass,22
97,3/10/2024,Voolia,insumos gastronómicos de alta calidad,Snapple - Iced Tea Peach,480,$1107.94,Transferencia,error: undefined method `first' for nil:NilClass,
98,11/26/2025,Meejo,insumos gastronómicos de alta calidad,Nori Sea Weed,276,$1124.87,transferencia,error: undefined method `first' for nil:NilClass,
99,6/12/2025,Oyope,insumos gastronómicos de alta calidad,Table Cloth 54x54 Colour,20,$3662.47,Efectivo,error: undefined method `first' for nil:NilClass,
100,1/15/2024,Riffwire,insumos gastronómicos de alta calidad,"Pork - Chop, Frenched",120,$1044.72,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
101,4/8/2024,Bubbletube,insumos gastronómicos de alta calidad,Container - Hngd Cll Blk 7x7x3,146,$758.29,Tarjeta,error: undefined method `first' for nil:NilClass,
102,8/14/2024,Jabberstorm,insumos gastronómicos de alta calidad,Strawberries,376,$3829.49,TRANSF.,error: undefined method `first' for nil:NilClass,13
103,12/17/2025,Zoombox,insumos gastronómicos de alta calidad,Instant Coffee,298,$1099.13,cheque a 30 dias,error: undefined method `first' for nil:NilClass,2
104,5/28/2025,Tagfeed,insumos gastronómicos de alta calidad,"Sprite, Diet - 355ml",144,$4537.52,cheque a 30 dias,,22
105,9/12/2025,Browsetype,insumos gastronómicos de alta calidad,Oil - Canola,295,$3691.52,transferencia,error: undefined method `first' for nil:NilClass,
106,4/23/2025,Demizz,insumos gastronómicos de alta calidad,"Wine - Magnotta - Red, Baco",273,$3982.49,Transferencia,error: undefined method `first' for nil:NilClass,
107,5/17/2024,Yozio,insumos gastronómicos de alta calidad,Bread Fig And Almond,258,$972.37,tarjeta de crétdito,,12
108,10/17/2025,Nlounge,insumos gastronómicos de alta calidad,Flounder - Fresh,409,$2014.59,tarjeta débito,error: undefined method `first' for nil:NilClass,
109,3/11/2026,Wordware,insumos gastronómicos de alta calidad,Sherbet - Raspberry,7,$2176.42,TRANSF.,error: undefined method `first' for nil:NilClass,28
110,5/5/2026,Zoonoodle,insumos gastronómicos de alta calidad,Cafe Royale,306,$633.42,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,9
111,9/3/2025,Realblab,insumos gastronómicos de alta calidad,Bread - Crusty Italian Poly,374,$3350.72,Cheque,,
112,7/28/2025,Devpoint,insumos gastronómicos de alta calidad,Salt - Celery,298,$4668.68,tarjeta débito,error: undefined method `first' for nil:NilClass,3
113,3/10/2024,Edgeblab,insumos gastronómicos de alta calidad,Versatainer Nc - 8288,309,$1553.47,Tarjeta,error: undefined method `first' for nil:NilClass,9
114,2/27/2026,Roodel,insumos gastronómicos de alta calidad,Foam Espresso Cup Plain White,215,$4269.46,Cheque,error: undefined method `first' for nil:NilClass,4
115,11/28/2024,Topicware,insumos gastronómicos de alta calidad,Shrimp - Black Tiger 8 - 12,222,$3842.36,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
116,10/1/2025,Vitz,insumos gastronómicos de alta calidad,Wine - Vouvray Cuvee Domaine,157,$4604.14,Efectivo,error: undefined method `first' for nil:NilClass,27
117,10/12/2024,Zoomlounge,insumos gastronómicos de alta calidad,Foil - Round Foil,242,$983.85,cheque a 30 dias,error: undefined method `first' for nil:NilClass,5
118,5/5/2025,Jabbertype,insumos gastronómicos de alta calidad,Tomatoes Tear Drop Yellow,229,$4808.16,tarjeta débito,error: undefined method `first' for nil:NilClass,
119,5/6/2026,Skipstorm,insumos gastronómicos de alta calidad,"Soup - Campbells, Cream Of",395,$1491.17,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
120,2/18/2025,Vimbo,insumos gastronómicos de alta calidad,"Beef - Tongue, Cooked",475,$4737.36,tarjeta débito,error: undefined method `first' for nil:NilClass,16
121,4/20/2025,Gigabox,insumos gastronómicos de alta calidad,"Peas - Pigeon, Dry",404,$2441.70,Transferencia,,
122,2/10/2024,Topdrive,insumos gastronómicos de alta calidad,Venison - Racks Frenched,67,$3848.61,transferencia,error: undefined method `first' for nil:NilClass,15
123,11/12/2025,Gigazoom,insumos gastronómicos de alta calidad,Salad Dressing,395,$3784.55,cheque a 30 dias,,
124,2/19/2025,Brightbean,insumos gastronómicos de alta calidad,"Cheese - Havarti, Roasted Garlic",380,$4061.17,TRANSF.,error: undefined method `first' for nil:NilClass,23
125,1/5/2024,Photobug,insumos gastronómicos de alta calidad,Chef Hat 25cm,388,$3442.75,Cheque,,17
126,1/28/2026,Miboo,insumos gastronómicos de alta calidad,Lettuce - Iceberg,201,$1890.41,TRANSF.,error: undefined method `first' for nil:NilClass,
127,1/4/2024,Oyonder,insumos gastronómicos de alta calidad,Potatoes - Mini Red,310,$1833.53,tarjeta débito,error: undefined method `first' for nil:NilClass,17
128,4/18/2024,Kwilith,insumos gastronómicos de alta calidad,Lettuce - Spring Mix,11,$3341.22,Cheque,error: undefined method `first' for nil:NilClass,8
129,5/11/2026,Buzzdog,insumos gastronómicos de alta calidad,Island Oasis - Lemonade,227,$1309.10,Cheque,error: undefined method `first' for nil:NilClass,6
130,6/23/2024,Brainlounge,insumos gastronómicos de alta calidad,Corn Shoots,239,$2798.06,Efectivo,error: undefined method `first' for nil:NilClass,
131,6/10/2025,,insumos gastronómicos de alta calidad,Bread Ww Cluster,249,$2802.24,transferencia,error: undefined method `first' for nil:NilClass,11
132,6/16/2025,Flipbug,insumos gastronómicos de alta calidad,Longos - Burritos,323,$4878.84,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
133,11/9/2025,Twitterlist,insumos gastronómicos de alta calidad,Chocolate Bar - Reese Pieces,366,$3564.07,tarjeta débito,error: undefined method `first' for nil:NilClass,10
134,3/2/2024,Yotz,insumos gastronómicos de alta calidad,Cups 10oz Trans,6,$3428.30,Efectivo,,15
135,2/11/2026,Twitternation,insumos gastronómicos de alta calidad,"Beef - Cooked, Corned",55,$3631.62,Cheque,error: undefined method `first' for nil:NilClass,21
136,5/2/2024,Zooxo,insumos gastronómicos de alta calidad,Pepper - Red Thai,221,$3856.13,tarjeta débito,error: undefined method `first' for nil:NilClass,27
137,6/16/2025,Fivespan,insumos gastronómicos de alta calidad,Beer - Mcauslan Apricot,457,$3377.54,transferencia,error: undefined method `first' for nil:NilClass,25
138,5/4/2025,Mymm,insumos gastronómicos de alta calidad,"Pasta - Penne Primavera, Single",477,$1248.33,Tarjeta,error: undefined method `first' for nil:NilClass,
139,2/14/2026,Snaptags,insumos gastronómicos de alta calidad,"Pasta - Gnocchi, Potato",63,$3993.11,Transferencia,error: undefined method `first' for nil:NilClass,
140,12/30/2025,Zoovu,insumos gastronómicos de alta calidad,Lemon Pepper,166,$1610.03,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
141,3/29/2025,Thoughtmix,insumos gastronómicos de alta calidad,Peas - Frozen,362,$821.96,Transferencia,error: undefined method `first' for nil:NilClass,22
142,4/19/2026,Tagcat,insumos gastronómicos de alta calidad,Juice - Orangina,281,$2020.34,Transferencia,error: undefined method `first' for nil:NilClass,
143,3/25/2024,,insumos gastronómicos de alta calidad,Mushroom - Porcini Frozen,357,$1600.18,cheque a 30 dias,error: undefined method `first' for nil:NilClass,6
144,4/16/2025,Fatz,insumos gastronómicos de alta calidad,Bar - Granola Trail Mix Fruit Nut,197,$1904.72,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
145,11/17/2024,Gevee,insumos gastronómicos de alta calidad,Ice Cream - Chocolate,452,$1016.66,Transferencia,error: undefined method `first' for nil:NilClass,2
146,10/22/2024,Skinder,insumos gastronómicos de alta calidad,"Stock - Veal, White",175,$644.65,Tarjeta,error: undefined method `first' for nil:NilClass,
147,11/11/2024,Quinu,insumos gastronómicos de alta calidad,Ham - Black Forest,380,$3826.28,TRANSF.,,
148,5/21/2024,Fanoodle,insumos gastronómicos de alta calidad,Squash - Acorn,418,$1245.38,Tarjeta,error: undefined method `first' for nil:NilClass,
149,2/6/2025,,insumos gastronómicos de alta calidad,Cheese - Brie,130,$3990.01,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,1
150,8/17/2024,Flipstorm,insumos gastronómicos de alta calidad,"Fish - Soup Base, Bouillon",447,$3378.74,Efectivo,error: undefined method `first' for nil:NilClass,
151,1/10/2024,Avaveo,insumos gastronómicos de alta calidad,Beets - Mini Golden,116,$2688.89,Transferencia,error: undefined method `first' for nil:NilClass,25
152,4/10/2025,Realbridge,insumos gastronómicos de alta calidad,Plate Pie Foil,241,$4965.34,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,26
153,3/31/2026,Rooxo,insumos gastronómicos de alta calidad,"Asparagus - Green, Fresh",101,$3421.37,tarjeta débito,error: undefined method `first' for nil:NilClass,11
154,3/13/2024,Brightdog,insumos gastronómicos de alta calidad,Wine - Penfolds Koonuga Hill,252,$1798.70,Cheque,error: undefined method `first' for nil:NilClass,
155,6/29/2025,Wordtune,insumos gastronómicos de alta calidad,Chives - Fresh,66,$3663.53,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,23
156,10/22/2024,Kaymbo,insumos gastronómicos de alta calidad,Ham - Cooked,134,$4222.01,transferencia,error: undefined method `first' for nil:NilClass,
157,6/26/2024,,insumos gastronómicos de alta calidad,Muffins - Assorted,179,$4920.53,TRANSF.,error: undefined method `first' for nil:NilClass,
158,2/19/2025,,insumos gastronómicos de alta calidad,"Jam - Marmalade, Orange",216,$2841.44,Transferencia,error: undefined method `first' for nil:NilClass,9
159,12/28/2025,Jamia,insumos gastronómicos de alta calidad,Garam Marsala,49,$2712.69,Tarjeta,error: undefined method `first' for nil:NilClass,27
160,1/17/2024,Twitterbridge,insumos gastronómicos de alta calidad,Rice Paper,410,$1528.00,Tarjeta,,
161,8/26/2025,Katz,insumos gastronómicos de alta calidad,Wine - Penfolds Koonuga Hill,403,$1472.09,tarjeta débito,,
162,7/10/2024,Centimia,insumos gastronómicos de alta calidad,Jameson Irish Whiskey,56,$3191.62,Tarjeta,error: undefined method `first' for nil:NilClass,
163,10/10/2024,Mynte,insumos gastronómicos de alta calidad,Ocean Spray - Kiwi Strawberry,490,$1325.71,tarjeta débito,error: undefined method `first' for nil:NilClass,18
164,3/25/2026,Kwinu,insumos gastronómicos de alta calidad,Chocolate - Milk,474,$613.91,Tarjeta,,3
165,3/23/2024,Digitube,insumos gastronómicos de alta calidad,Cocoa Butter,48,$2820.15,Efectivo,,20
166,7/19/2024,Skyble,insumos gastronómicos de alta calidad,Wine - Saint Emilion Calvet,266,$4690.38,Efectivo,error: undefined method `first' for nil:NilClass,
167,6/14/2026,Linklinks,insumos gastronómicos de alta calidad,Beef Wellington,57,$4466.95,cheque a 30 dias,error: undefined method `first' for nil:NilClass,6
168,5/19/2026,Photojam,insumos gastronómicos de alta calidad,Tofu - Firm,9,$650.51,Cheque,error: undefined method `first' for nil:NilClass,1
169,5/20/2024,Oyondu,insumos gastronómicos de alta calidad,Appetizer - Escargot Puff,215,$614.29,Cheque,error: undefined method `first' for nil:NilClass,6
170,9/10/2024,Yakidoo,insumos gastronómicos de alta calidad,Munchies Honey Sweet Trail Mix,97,$3013.82,tarjeta débito,,24
171,12/25/2025,,insumos gastronómicos de alta calidad,Shrimp - 100 / 200 Cold Water,281,$4754.67,transferencia,error: undefined method `first' for nil:NilClass,0
172,1/13/2025,Twitterworks,insumos gastronómicos de alta calidad,Flower - Commercial Bronze,81,$4166.71,Tarjeta,error: undefined method `first' for nil:NilClass,24
173,4/19/2024,Teklist,insumos gastronómicos de alta calidad,Cheese - Grana Padano,441,$1526.47,tarjeta débito,,0
174,9/14/2025,Realpoint,insumos gastronómicos de alta calidad,Dish Towel,403,$4025.26,Efectivo,error: undefined method `first' for nil:NilClass,
175,9/2/2024,Realcube,insumos gastronómicos de alta calidad,Muffin Mix - Chocolate Chip,213,$869.95,Tarjeta,error: undefined method `first' for nil:NilClass,17
176,4/28/2025,Feedmix,insumos gastronómicos de alta calidad,Pork - Ham Hocks - Smoked,244,$1953.78,tarjeta débito,error: undefined method `first' for nil:NilClass,29
177,12/16/2025,Jetwire,insumos gastronómicos de alta calidad,Straw - Regular,257,$3384.20,TRANSF.,error: undefined method `first' for nil:NilClass,
178,1/16/2026,Flashspan,insumos gastronómicos de alta calidad,Veal - Nuckle,402,$1484.12,Tarjeta,error: undefined method `first' for nil:NilClass,16
179,8/16/2024,Teklist,insumos gastronómicos de alta calidad,"Onions - Dried, Chopped",42,$1070.86,cheque a 30 dias,error: undefined method `first' for nil:NilClass,0
180,10/1/2025,Yamia,insumos gastronómicos de alta calidad,Pie Box - Cello Window 2.5,340,$3209.26,TRANSF.,error: undefined method `first' for nil:NilClass,
181,3/10/2026,Avamm,insumos gastronómicos de alta calidad,Tandoori Curry Paste,406,$3276.16,cheque a 30 dias,error: undefined method `first' for nil:NilClass,23
182,10/1/2024,,insumos gastronómicos de alta calidad,Squash - Acorn,168,$3640.57,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,
183,4/27/2025,Quinu,insumos gastronómicos de alta calidad,"Orange - Canned, Mandarin",291,$1106.60,TRANSF.,error: undefined method `first' for nil:NilClass,
